district,season,ghl,ret_lbs_mt,ret_lbs_rnd,dredge_hrs,number_hauls,mt_cpue,rnd_cpue
H,1994,"20,000","20,431",,458,,45,
H,1995,,,,,,,
H,1996,"28,000",28228,,534,,53,
H,1997,"20,000",20336,,395,,52,
H,1998,"20,000",17246,,390,,44,
H,1999,"20,000",20315,,325,,63,
H,2000,"20,000",20516,,275,,75,
H,2001,"20,000",20097,,325,,62,
H,2002,"20,000",8591,,311,,28,
H,2003,"20,000",15843,,896,,18,
H,2004,"20,000",6117,,364,,17,
H,2005,"7,000",7378,,372,,20,
H,2006,"7,000",50,,10,,5,
H,2007,"12,000",0,,,,,
H,2008,"12,000",0,,,,,
H,2009,"14,000",0,,,,,
H,2010,"14,000",9460,,365,,26,
H,2011,"12,500",9975,,324,,31,
H,2012,"12,500",11739,,392,,30,
H,2013,,,,,,,
H,2014,,,,,,,
H,2015,"10,000",9485,,459,,21,
H,2016,"10,000",3982,,271,,15,
H,2017,"10,000",0,,,,,
