year,district,bed_name,size_grp,cpue,meat_biomass,se,cv,l95,u95
2016,EKI,EK1,100_NA,0.549395076660899,53.97535776420539,13.765546445228752,0.25503390835062867,33.000240645848876,88.28236366635218
2016,KSH,KSH1,100_NA,0.5919684645351109,83.34271326996482,12.141052849830743,0.14567623699150858,62.73587252861764,110.71827927524359
2016,KSH,KSH2,100_NA,0.09576976325336929,2.026983320117314,0.8371806525719337,0.4130180274613611,0.9311742489322233,4.412344289745134
2016,KSH,KSH3,100_NA,0.21124420091543403,1.5705224734519134,1.4642702379367727,0.9323459311718063,0.3332753903409216,7.400909011296593
2016,WKI,WK1,100_NA,1.4102440816186494,68.64787550747343,27.350992260474115,0.39842445317184677,32.351458999511316,145.6667166621683
2017,KNE,KNE2,100_NA,0.4621507783559595,54.561807426187166,22.32075883173028,0.40909126520279715,25.237378193610024,117.95959179175323
2017,KNE,KNE3,100_NA,0.05225798314460385,5.134821869024113,0.948481649964847,0.18471558978249591,3.5859915177668396,7.35260959095292
2017,KNE,KNE6,100_NA,0.44725653995359693,12.792529952191568,3.6963886653379436,0.2889489943859535,7.343651523503313,22.28439381334495
2017,KSH,KSH1,100_NA,0.4744565970264708,66.79832202898547,9.941105706830916,0.14882268603270035,49.977930559096315,89.27972358943398
2017,KSH,KSH2,100_NA,0.23402742857247347,4.953230310399258,1.6145840718814104,0.32596587897227536,2.6570221632406583,9.23382982923042
2017,YAK,EK1,100_NA,0.23337831069922685,7.787484160567151,1.1255535664661074,0.14453365724523476,5.874934038402363,10.32265369358532
2017,YAK,YAK1,100_NA,1.5141654022679687,80.77020076145037,16.413320820403648,0.20321010305371584,54.453035766460715,119.80645778913984
2017,YAK,YAK2,100_NA,1.4282932406213864,112.3156243428135,20.50237252208281,0.1825424792146886,78.76412261555696,160.15920767743577
2017,YAK,YAK4,100_NA,0.5686046942433675,71.96301949882044,11.79474759544903,0.16390012088976283,52.302005276547526,99.01486851231219
2017,YAK,YAK5,100_NA,0.8197816078687454,44.98453199386797,13.034233907247208,0.28974923889447063,25.785610516836456,78.47819299783637
2018,EKI,EK1,100_NA,0.6017007966736184,59.11413688825541,12.129309530921404,0.20518458306935397,39.70381444206292,88.01373946431916
2018,KAM,KAMN,100_NA,0.4374169920994027,39.490837139019064,6.372948790669631,0.1613779107349643,28.84102231256706,54.07319480700192
2018,KAM,KAMS,100_NA,0.027332319893864036,1.8608890211594569,0.6046330361675937,0.32491622514429547,1.0001285168108576,3.462462964373908
2018,KSH,KSH1,100_NA,0.4605161442122584,64.83565808427551,8.174914189483498,0.12608670029781263,50.68852931947958,82.9312393880328
2018,YAK,YAK1,100_NA,1.32752559353512,70.81426411222358,15.023271931616902,0.21215036433632395,46.937350315660225,106.83730479099204
2018,YAK,YAK2,100_NA,1.3565197827964772,106.67162876992948,16.15994174343965,0.15149240646070555,79.40115040976103,143.308205557571
2018,YAK,YAK3,100_NA,0.63469700073261,105.72521777736517,17.34960842042904,0.1641009475805822,76.81039005395864,145.52486540191984
2019,KAM,KAMN,100_NA,0.686013687482603,61.93461913193561,9.541650157775063,0.1540600441483148,45.87363919217892,83.61876481933689
2019,WKI,WK1,100_NA,0.9461944033766542,46.05886062951281,17.43069476739701,0.3784438982893135,22.484982586076267,94.34824485043475
2019,YAK,EK1,100_NA,0.3780324122481275,12.614374548101642,2.2648816675392722,0.1795476786346191,8.896974416516501,17.885006496635167
2019,YAK,YAK3,100_NA,0.6869880932975132,114.43565306043631,22.381996864377477,0.1955858708872574,78.27720587943571,167.29670590872337
2019,YAK,YAK4,100_NA,0.7397863383788791,93.62789163139458,11.873068825031774,0.12681123774286282,73.09565520004246,119.92753970601353
2019,YAK,YAK5,100_NA,0.44839102685936244,24.604919529675286,5.758076651977952,0.23402135678734087,15.648340732639406,38.687939852884526
2020,KNE,KNE1,100_NA,0.37743177372532294,15.701916650520884,5.0966035008203425,0.3245848016045399,8.444029394021188,29.198167722447216
2020,KNE,KNE2,100_NA,0.1363008446061039,16.09176222072028,7.119877346488228,0.44245479449854414,7.025568153305649,36.85749048585666
2020,KNE,KNE3,100_NA,0.2124305987281573,20.873237319183893,9.396927603662002,0.4501902345078787,8.993274381786618,48.44642981930414
2020,KNE,KNE4,100_NA,0.04191844192267265,0.8726287810368533,NA,NA,NA,NA
2020,KNE,KNE5,100_NA,1.3017528130395333,28.70234777470867,10.984002640685247,0.38268655675491114,13.906969522121067,59.23826657345514
2020,KNE,KNE6,100_NA,0.8968984734539396,25.653287455393738,10.341664723558361,0.4031321420905831,11.990145666193783,54.886001854385285
2020,KSH,KSH1,100_NA,1.5455214725707862,217.59259260913038,42.09452498964093,0.1934556892993912,149.44505727881528,316.81567273268814
2021,EKI,EK1,100_NA,0.39992945231619864,39.2910970378666,7.381563034416507,0.18786859087448138,27.274819274280674,56.60130286893584
2021,WKI,WK1,100_NA,1.2298578744627933,59.8670339116786,18.191765948595467,0.3038695048001484,33.43631839646263,107.1906813090178
2021,YAK,EK1,100_NA,0.31878851600790997,10.637494596409944,1.7307277179886744,0.16270069068451315,7.749065829733993,14.602571945441214
2021,YAK,YAK1,100_NA,1.1052139292455303,58.95548188844079,11.16444168135139,0.1893707136933837,40.80809722348756,85.17301911096614
2021,YAK,YAK2,100_NA,0.7659172148970103,60.22885758994503,11.533072873084494,0.19148749178682573,41.52143876019236,87.36487450593037
2021,YAK,YAK3,100_NA,0.5483671190258094,91.34474089846013,35.377416629826214,0.38729560434302573,43.89956712540735,190.06706070633928
2021,YAK,YAK4,100_NA,0.30369641626286265,38.43603710364761,9.169353919592828,0.23856137652449735,24.236755887223726,60.954071374368276
2021,YAK,YAK5,100_NA,0.28555466788164113,15.6694697344036,3.8801706728129552,0.2476261633980966,9.714015955134133,25.27608384538628
2022,KAM,KAMN,100_NA,0.5983115542915824,54.016703913397215,11.279973585800425,0.20882380390860478,36.0302311775084,80.98211436092697
2022,KNE,KNE1,100_NA,0.2800326283125072,11.649917403056923,4.016296943967165,0.3447489630195399,6.04040391105812,22.468791408068917
2022,KNE,KNE2,100_NA,0.13706656038924095,16.182163100821228,6.759190615831252,0.4176938876291656,7.373660910771133,35.51321464200537
2022,KNE,KNE3,100_NA,0.7953226466264234,78.14767951390394,42.87356627058422,0.5486223844043406,28.594332987304472,213.57587939258102
2022,KNE,KNE5,100_NA,0.5998564206695235,13.226234219342324,8.949674049160423,0.6766607864899468,3.9701094875903506,44.062581188680824
2022,KNE,KNE6,100_NA,2.4364572568694283,69.6880864815759,27.938585545295204,0.40090906431591566,32.69881161232708,148.5200580082483
2022,KSH,KSH1,100_NA,1.593838631540484,224.39512241820267,47.97169851630692,0.21378226941538686,148.2748612875228,339.5934450914056
2023,EKI,EK1,100_NA,0.4233257347246376,41.58966644082345,7.734734232011588,0.18597730864269094,28.974914061211084,59.69647920283284
2023,WKI,WK1,100_NA,1.0992658978686523,53.510076369109235,16.11276012499384,0.3011163731826695,30.03732119846104,95.32568680507386
2023,YAK,YAK1,100_NA,1.2408326014410391,66.18979550029943,14.202886255356365,0.21457818607842827,43.670688513216014,100.32104318771191
2023,YAK,YAK2,100_NA,1.185566536062126,93.22850652141535,19.72773669333155,0.21160627183060074,61.857833267883514,140.50854950857493
2023,YAK,YAK3,100_NA,0.40774722892439247,67.92085755311443,8.96565796183377,0.13200154245435702,52.49598311217176,87.87801689308361
2023,YAK,YAK4,100_NA,0.8229635332428054,104.15485730095338,21.41415756654084,0.20559922140419298,69.90016783536349,155.19611233170295
2023,YAK,YAK5,100_NA,0.6653247883821426,36.50889937272402,13.937479711503366,0.38175568014838945,17.71860173889284,75.22601123100672
